Libraries and tools;;;;;;;;;;;;;;;;;;;;;;;;;
Android;MaterialPreferences;;;https://github.com/yarolegovich/MaterialPreferences;;;;;;;;;;;;;;;;;;;;;
Android;BeerProgressView;;;https://github.com/andyb129/BeerProgressView;;;;;;;;;;;;;;;;;;;;;
Android;Navigation Tab Strip;;;https://github.com/DevLight-Mobile-Agency/NavigationTabStrip;;;;;;;;;;;;;;;;;;;;;
Android;CircularTools;Circle based animations for Android API 11+;;https://github.com/AutSoft/CircularTools;;;;;;;;;;;;;;;;;;;;;
Android;Material Preferences;Custom goodlooking material preferences;;https://github.com/yarolegovich/MaterialPreferences;;;;;;;;;;;;;;;;;;;;;
Android;License tools plugin;Gradle plugin to check libs licenses and generate pages;;https://github.com/cookpad/license-tools-plugin;;;;;;;;;;;;;;;;;;;;;
Android;BlurView;;blur , view , iOS-like;https://github.com/Dimezis/BlurView;;;;;;;;;;;;;;;;;;;;;
Android;Android loading animations;;loading , animations;https://github.com/ybq/Android-SpinKit;;;;;;;;;;;;;;;;;;;;;
Android;Anypixel;;;https://github.com/googlecreativelab/anypixel;;;;;;;;;;;;;;;;;;;;;
Android;Persistent Search View;;;https://github.com/lapism/SearchView;;;;;;;;;;;;;;;;;;;;;
Design;Vectalign;;animations , drawables;https://github.com/bonnyfone/vectalign;;;;;;;;;;;;;;;;;;;;;
Android;Dart;;dart , butter knife , layout injection;https://github.com/f2prateek/dart;;;;;;;;;;;;;;;;;;;;;
Android;Pin Lock View;;;https://github.com/aritraroy/PinLockView;;;;;;;;;;;;;;;;;;;;;
Android;Flexible Adapter;;;https://github.com/davideas/FlexibleAdapter;;;;;;;;;;;;;;;;;;;;;
Android;InstaCapture;;screen shot;https://github.com/tarek360/InstaCapture;;;;;;;;;;;;;;;;;;;;;
Android;Header decor;;recycler view , header;https://github.com/edubarr/header-decor;;;;;;;;;;;;;;;;;;;;;
Android;Deep Link Dispatch;;deep link;https://github.com/airbnb/DeepLinkDispatch;;;;;;;;;;;;;;;;;;;;;
Android;MaterialSeekBarPreference;;seek bar , preference;https://github.com/MrBIMC/MaterialSeekBarPreference;;;;;;;;;;;;;;;;;;;;;
Android;LeafPic;An ad-free, open-source, material designed alternatibe to Android gallery;gallery;https://github.com/HoraApps/LeafPic;;;;;;;;;;;;;;;;;;;;;
Android;LoadingView;;loaders;https://github.com/ldoublem/LoadingView;;;;;;;;;;;;;;;;;;;;;
Android;AndroidPdfViewer;;pdf , viewer;https://github.com/barteksc/AndroidPdfViewer;;;;;;;;;;;;;;;;;;;;;
Android;ExpandingPager;A card peek-pop controller;pager , card , peek-pop;https://github.com/qs-lll/ExpandingPager;;;;;;;;;;;;;;;;;;;;;
Android;GroupdOfX;;;https://github.com/blipinsk/GroupOfX;;;;;;;;;;;;;;;;;;;;;
Android;Frog;;documentation , libs , finder , console;https://github.com/anupcowkur/frog;;;;;;;;;;;;;;;;;;;;;
Android;Reservoir;;cache , key/value pair , GSON;https://github.com/anupcowkur/Reservoir;;;;;;;;;;;;;;;;;;;;;
Android;CardStackView;;card , stack , view;https://github.com/loopeer/CardStackView;;;;;;;;;;;;;;;;;;;;;
Android;ParalalxRecyclerView;;parallax , recycler view , loadmore;https://github.com/mzelzoghbi/ParallaxRecyclerView;;;;;;;;;;;;;;;;;;;;;
Android;Shine Button;;effects , shining;https://github.com/ChadCSong/ShineButton;;;;;;;;;;;;;;;;;;;;;
Android;DiscreteSlider;A slider that allows a user to select a value at one of the specified tickmarks;slider;https://github.com/lawloretienne/DiscreteSlider;;;;;;;;;;;;;;;;;;;;;
Android;FlyoutMenus;;;https://github.com/ShamylZakariya/FlyoutMenus;;;;;;;;;;;;;;;;;;;;;
Android;PaperShredder;Some animations with a paper shredder;animations;https://github.com/ldoublem/PaperShredder;;;;;;;;;;;;;;;;;;;;;
Android;SectionedRecyclerViewAdapter;An Adapter that allows a RecyclerView to be split into Sections with headers and/or footers;;https://github.com/luizgrp/SectionedRecyclerViewAdapter;;;;;;;;;;;;;;;;;;;;;
Android;Android-Stackblur;Android StackBlur is a library that can perform a blurry effect on a Bitmap based on a gradient or radius, and return the result;effect , blur;https://github.com/kikoso/android-stackblur;;;;;;;;;;;;;;;;;;;;;
Android;BreadcrumbLayout;A breadcrumb view based on a TableLayout;breadcrumb;https://github.com/ayvazj/BreadcrumbLayout;;;;;;;;;;;;;;;;;;;;;
Android;Jelly Direction Button;;button;https://github.com/bonghyun2/jelly-direction-button;;;;;;;;;;;;;;;;;;;;;
Android;SparkButton;Android library to create buttons with Twitter's heart like animation.;button;https://github.com/varunest/SparkButton;;;;;;;;;;;;;;;;;;;;;
Android;Submit Button;A cool and elegant submit button;button;https://github.com/SparkYuan/SubmitButton;;;;;;;;;;;;;;;;;;;;;
Android;Image Zoomer;Image zoom animations for Android;image , zoom;https://github.com/code-crusher/Image-Zoomer;;;;;;;;;;;;;;;;;;;;;
Android;Liquid button;Animation of liquid loading button;button;https://github.com/yoruriko/LiquidButton;;;;;;;;;;;;;;;;;;;;;
Android;SocialButtons;;button;https://github.com/championswimmer/Android-SocialButtons;;;;;;;;;;;;;;;;;;;;;
Android;Ring Button;;button;https://github.com/yankai-victor/RingButton;;;;;;;;;;;;;;;;;;;;;
Android;Badge;A Series Of Badge Drawables For Android;badge;https://github.com/nekocode/Badge;;;;;;;;;;;;;;;;;;;;;
Android;TriangleLabelView;A view with a triangle in the corner has a label;view;https://github.com/shts/TriangleLabelView;;;;;;;;;;;;;;;;;;;;;
Android;Bubbles;;notification , bubbles;https://github.com/txusballesteros/bubbles-for-android;;;;;;;;;;;;;;;;;;;;;
Android;Bubbles Notifications;Exploding bubbles notifications;;https://github.com/dkmeteor/Bubble-Notification;;;;;;;;;;;;;;;;;;;;;
Android;9-Patch resizer;;9-patch , resizer;https://github.com/redwarp/9-Patch-Resizer;;;;;;;;;;;;;;;;;;;;;
Android;CitiesAutoComplete;;cities , Google Places , autocomplete;https://github.com/davidbeloo/CitiesAutoComplete;;;;;;;;;;;;;;;;;;;;;
